Organization,Address,Latitude,Longitude,Tag,Phone Number,Link
Florida Department,"2415 North Monroe Street, Suite 400, Tallahassee, FL 32303-4190",30.4760858,-84.2931241,"ed, em",1-850-487-1111,https://www.myflfamilies.com/services/public-assistance/refugee-services/refugee-services-overview
Gulf Coast JFCS,"14041 Icot Blvd. Clearwater, FL 33760",27.8993784,-82.7148647,"ed, h",727.479.1800,https://gulfcoastjewishfamilyandcommunityservices.org/
Catholic Charities Central Florida,"1819 N Semoran Blvd Orlando, FL 32807",28.5692444,-81.3102847,"ed, em, l",(407) 658-0110,https://cflcc.org/immigrants-refugees/
Florida Immigrant Care,"2800 Biscayne Blvd, Suite 300 Miami, FL 33137",25.8037143,-80.1895552,"ed, l",(305) 571-7254,https://floridaimmigrant.org/services/
IRC Atlanta,"2305 Parklake Drive Suite 100 Atlanta, GA 30345",33.8534279,-84.2471052,"ed, em, h, l",(404) 292-7731,https://www.rescue.org/united-states/atlanta-ga
New American Pathways,"2300 Henderson Mill Rd NE, Suite 100 Atlanta, GA 30345",33.8527241,-84.259776,"ed, l, h",404.299.6099,https://newamericanpathways.org/
Catholic Charities Atlanta,"3669 North Peachtree Road Chamblee, GA 30341",33.8993876,-84.2933375,"ed, l, h",770-429-2369,https://catholiccharitiesatlanta.org/
Global Village Project,"1548 Decatur, GA 30031",33.7752916,-84.3042618,"ed, em",404-371-0107,https://globalvillageproject.org/
Friends of Refugees,"548, Clarkston, GA 30021",33.8095487,-84.2396434,"ed, h",404-292-8818 ,https://friendsofrefugees.com/blog-page/
Helping Hands Hawaii,"Helping Hands Hawaii 2100 N. Nimitz Hwy. Honolulu, HI 96819",21.3277433,-157.8852871,ed,(808) 536-7234,https://helpinghandshawaii.org/
Pacific Gateway Center,"723-C Umi St. Honolulu, HI 96819",21.3332339,-157.8821062,"ed, l, h",(808) 851-7010,https://www.pacificgatewaycenter.org/immigration-and-refugee-services
Hawaii Literacy,West O’ahu Christian Church 94-420 Farrington Hwy,21.3820168,-158.0151849,ed,(808) 778-8490.,https://www.hawaiiliteracy.org/ell
IRC Boise,"7291 W Franklin Road Boise, ID83709",43.6049815,-116.3142928,"ed, l, h, em",(208) 344-1792,https://www.rescue.org/united-states/boise-id
Indy Reads,"1066 Virginia Ave Indianapolis, IN 46203",39.7525448,-86.1400562,ed,(317) 384-1496,https://indyreads.org/
English Language Center,"1607 W. Jefferson St. Boise, ID 83702",43.6226044,-116.2112249,"ed, l",208.336.4222,https://www.idahorefugees.org/elc.html
CSI Refugee Center,"1526 Highland Ave. E. Twin Falls, Idaho 83301",42.544636,-114.4544646,"ed, em, l",208-736-2166,https://refugeecenter.csi.edu/programs/englishTraining.asp
World Relief Chicagoland,"3507 W. Lawrence Ave. Chicago, Illinois 60625",41.968213,-87.7162129,"ed, em, l",(773) 583-9191,https://worldrelief.org/chicagoland/
World Relief Quad Cities,"1852 16th St. Moline, IL 61265",41.4933928,-90.5132116,"ed, em, l",(309) 764-2279,https://worldrelief.org/quad-cities/
The Immigration Project,"211 Landmark Drive, Suite B3A, Normal, IL 61761",40.5155004,-88.9551702,"ed, em, h",(309) 829-8703,https://www.immigrationproject.org/social-services/
RefugeeOne,"6008 N. California Ave. Chicago, IL 60659",41.9906017,-87.699544,"ed, em, h",(773) 989-5647,https://www.refugeeone.org/howwehelp.html
Syrian Community Network,"5439 Broadway Avenue Chicago, Illinois 60640",41.981152,-87.6596736,"ed, l",773-654-1218,https://www.syriancommunitynetwork.org/
HIAS,"216 W. Jackson St, Suite 700 Chicago, IL 60606",41.8783849,-87.6344882,"em, l, h",312.357.4666,https://www.jcfs.org/hias
Immigration Welcome Center,"40 E St. Clair Street Indianapolis, IN 46204",39.7786372,-86.1568144,ed,317.808.2326,https://www.immigrantwelcomecenter.org/
Refugee Health Programs,"2 N Meridian St, Indianapolis, IN 46204",39.7674437,-86.1585634,ed,317) 233-1325,https://www.in.gov/health/refugee-health/
Jewish Family Services,"6705 Hoover Road Indianapolis, IN 46260",39.8796257,-86.1732495,ed,317-726-5450,https://www.jewishindianapolis.org/jfs
Indiana Refugee Network,"3306 Van Tassel Dr, Indianapolis, IN 46240",39.8880194,-86.1104682,ed,317-603-9796,https://indianarefugeenetwork.org/
IRC Des Moines,"108 3rd Street Unit #200 Des Moines, IA 50309",41.584199,-93.6202491,"ed, em, l, h",515-216-3619,https://www.rescue.org/united-states/des-moines-ia
Catholic Charities Des Moines,"601 Grand Ave, Des Moines, IA 50309",41.5880641,-93.6258173,"ed, em",(515) 244-3761,https://www.catholiccharitiesdm.org/our-services/refugee-services/
Iowa International Center,"3839 Merle Hay Road Suite 259 Des Moines, IA 50310",41.6309218,-93.6972439,ed,515-282-8269,https://iowainternationalcenter.org/services/
Iowa Migrant Movement for Justice,"41006 Des Moines, IA 50311",41.5868353,-93.6249593,"ed, em",(515) 255-9809,https://www.iowammj.org/
Lutheran Services in Iowa,"1323 Northwestern Ave. Ames, IA 50010",42.0354783,-93.62608,"ed, l, h",515.232.7262,https://lsiowa.org/
USCRI Des Moines,"1200 University Ave #205, Des Moines, IA 50314",41.600129,-93.6331255,"ed, em, l, h",515-528-7525,https://refugees.org/uscri-des-moines/
NLD,"2309 Euclid Avenue Des Moines, IA 50309",41.6293273,-93.6482249,ed,(515) 286-3928,https://www.nld.org/reap-refugee-english-and-acculturation-project
IRC Wichita,"420 South Emporia Suite 200 Wichita, KS 67202",37.6812953,-97.3325631,"ed, em, l, h",316-351-5495,https://www.rescue.org/united-states/wichita-ks
Catholic Charities,"600 Minnesota Avenue, Kansas City, Kansas",39.1157893,-94.6242944,"ed, em, l",913.433.2100,https://catholiccharitiesks.org/refugees/
Della Lamb,"500 Woodland Ave. Kansas City, MO 64106",39.1086158,-94.5603199,"ed, em",816.842.8040,https://www.dellalamb.org/services/refugee-services/
Catholic Charities Southwest,"2201 16th St. Great Bend, KS 67530",38.3673945,-98.7682398,"ed, h",620-792-1393 ,https://catholiccharitiesswks.org/services
IRC Louisville,"1951 Bishop Lane, Suite 100 Louisville, KY 40218",38.203604,-85.6823197,"ed, em, l, h",(502) 963 5939,https://www.rescue.org/united-states/louisville-ky
KRM,"969-B Cherokee Road Louisville, Kentucky 40204",38.2416782,-85.7229279,"ed, em, l, h",(502) 479-9180,https://kyrm.org/services/
Catholic Charities of Louisville,"2911 S Fourth St Louisville, KY 40208",38.2068873,-85.7647948,ed,502-637-9786,https://cclou.org/programs/
Paths to Peace,"2500 Montgomery Street, Louisville, KY 40212",38.2717993,-85.7885675,"ed, h",(502) 214-7322,https://paths2peace.org/about-ipp
Americana World Community Center,"4801 Southside Drive Louisville, KY 40214",38.1787301,-85.7642412,"ed, h",(502) 366-7813,http://americanacc.org/about-us/programs/
Lori,"1120 Government Street, Ste. E Baton Rouge, LA 70802",30.4432303,-91.1762889,"ed, em, h",225-239-7819,https://www.mylori.org/
Louisiana Refugee,"628 N. 4th Street | Baton Rouge, LA 70802",30.4529874,-91.1865314,"ed, em",225.342.8093,http://www.louisianarefugees.org/
Louisiana Department of Education,"1201 North Third Street Baton Rouge, LA 70802-5243",30.4597179,-91.1885601,ed,1.877.453.2721,https://www.louisianabelieves.com/
LSU,"2020 Gravier Street, 3rd Floor New Orleans, LA 70112",29.956727,-90.0836199,ed,(504) 568-5700,https://sph.lsuhsc.edu/service/institute-for-public-health-and-justice/
Urban League,"4640 S. Carrollton Avenue, Suite 210 New Orleans, Louisiana 70119",29.9733072,-90.1015512,"ed, em, h",(504) 620-2332,https://urbanleaguela.org/
Opportunity Alliance,"50 Lydia Lane South Portland, ME 04106",43.6376142,-70.3034479,ed,207.874.1175,https://www.opportunityalliance.org/
MEIRS,"256 Bartlett St. Lewiston, ME 04240",44.0919063,-70.2077218,"ed, em, h",207-782-0260,https://meirs.org/
LearningWorks,"181 Brackett Street Portland, ME 04102",43.65122,-70.2673928,ed,(207) 775-0105,https://www.learningworks.me/
Eastern Maine Community College,"354 Hogan Road, Bangor, Maine",44.8260177,-68.7442704,ed,(207) 974-4600,https://www.emcc.edu/academics/programs/programs-of-study/
Souther Maine Community College,"2 Fort Road, South Portland, Maine 04106",43.6467515,-70.22922,ed,207-741-5500,https://www.smccme.edu/
Bangor Adult Education,"121 York Street • Bangor, ME 04401",44.8023402,-68.7653507,ed,207-941-6316,https://bangor.maineadulted.org/
IRC Baltimore,"1900 N. Howard Street, Suite 200 Baltimore, MD 21218",39.3113407,-76.6195646,"ed, em, h, l",(410) 327-1885,https://www.rescue.org/united-states/baltimore-md
IRC Silver Spring,"8737 Colesville Road Suite 1200 Silver Spring, MD 20910",38.9987367,-77.0257741,"ed, em, h, l",(301) 562-8633,https://www.rescue.org/united-states/silver-spring-md
Catholic Charities,"320 Cathedral Street Baltimore, MD 21201",39.2937695,-76.6170385,ed,667-600-2000,https://cc-md.org/programs/esperanza-center/esperanza-center-services/
Refugee Training Center,"18330 Montgomery Village Ave. Gaithersburg, MD 20879",39.1581266,-77.2054364,"ed, em",240-567-5000,https://www.montgomerycollege.edu/workforce-development-continuing-education/english-language-skills/refugee/index.html
IINE Boston,"2 Boylston Street, 3rd Floor Boston, MA 02116",42.352076,-71.063102,"ed, em, h, l",617-695-9990,https://iine.org/boston/
IINE Lowell,"101 Jackson Street, Suite 2 Lowell, MA 01852",42.6421647,-71.3105985,"ed, em, h, l",978-459-9031,https://iine.org/lowell/
Catholic Charities,"275 West Broadway Boston, MA 02127",42.3387921,-71.0514018,"ed, l",617-464-8500,https://www.ccab.org/refugee-immigrant-services/
Ascentria,"11 Shattuck Street Worcester, MA 01605",42.286688,-71.7892617,ed,774.243.3100,https://www.ascentria.org/our-services/services-for-new-americans
RIAC,"253 Roxbury St., Boston, MA 02119",42.330377,-71.0934557,"ed, em",617-238-2430,https://www.riacboston.org/programs-services/
Somali Development Center,"10 Malcolm X Boulevard, 2nd Floor Nubian Square, Roxbury, MA 02119",42.32929,-71.0864495,"ed, em",(617)-522-0700,https://sdcboston.org/economic-empowerment/
USCRI Detroit,"13942 Michigan Ave Level, Suite 1, Dearborn, MI 48126",42.3211617,-83.1802353,"ed, em, h, l",,https://refugees.org/uscri-detroit/
Samaritas,"2170 E. Big Beaver Suite B Troy, MI 48083",42.5629869,-83.1046333,"ed, h",(248) 423-2790,https://www.samaritas.org/New-Americans/Resettlement
Refugee Development Center,"600 W. Maple St. Suite A Lansing, MI 48906",42.7468622,-84.5603644,"ed, h",(517) 999-5090,https://refugeedevelopmentcenter.org/resources/
Chaldean Community Foundation,"3601 15 Mile Road Sterling Heights, MI 48310",42.5514607,-83.0724597,"ed, em, l",(586) 722-7253,https://www.chaldeanfoundation.org/programs-solutions/new-american-acculturation/
Global Detroit,"4444 Second Ave Detroit, MI 48201, USA",42.3519735,-83.0665487,"ed, l",N/A,https://globaldetroitmi.org/opportunity-neighborhoods/
Arrive Ministries,"1515 East 66th Street, Richfield MN 55423",44.8830646,-93.2534911,"ed, em, h, l",612-798-4332,https://arriveministries.org/
International Institute of Minnesota,"1694 Como Avenue Saint Paul, MN 55108",44.9770305,-93.1718476,"ed, em, h, l",651-647-0191,https://iimn.org/programs/
MCC,"501 South Second Street Mankato, MN 56001",44.1626064,-94.0049134,"ed, em, h, l",507-345-1554,http://www.mnchurches.org/what-we-do/refugee-services/mankato-area-services
Literacy Minnesota,"700 Raymond Avenue, Suite 180 Saint Paul, MN 55114-1780",44.9615302,-93.1969826,ed,651-645-2277,https://www.literacymn.org/
Catholic Charities,"731 S. Pear Orchard Rd. Suite 51, Ridgeland, MS 39157",32.403615,-90.1243836,"ed, l",601-355-8634 ,https://www.catholiccharitiesjackson.org/
MCCB,"3825 Ridgewood Rd Jackson, MS 39211",32.338257,-90.1420464,ed,601-432-6518,https://www.mccb.edu/
MSEF,"5165 Old Brandon Road Pearl, MS 39208",32.290094,-90.0643854,ed,601-605-2989,https://www.mcef.net/
IISTL,"3401 Arsenal St., St. Louis, MO 63118",38.6026684,-90.2384654,"ed, l, h",(314) 773-9090,https://www.iistl.org/
Catholic Churches,"8001 Longview Rd, Kansas City, MO 64134",38.913584,-94.4976023,"ed, l",(816) 221-4377,https://catholiccharities-kcsj.org/
Adult Literacy Program,"205 Jefferson St., Jefferson City, MO 65101",38.5774324,-92.1711617,ed,573-751-4212,https://dese.mo.gov/adult-learning-rehabilitation-services/adult-education-and-literacy
SLPL,"St. Louis Public Library, 1301 Olive Street, St. Louis, MO  63103",38.6307357,-90.199499,ed,314-241-2288,https://www.slpl.org/
IRC Missoula,"3203 S. Russell St, Missoula, MT 59801",46.8411232,-114.0187604,"ed, em, h, l",406 926 1982,https://www.rescue.org/united-states/missoula-mt
Soft Landing Missoula,"939 Stephens Avenue, Suite C, Missoula, MT 59801",46.8575319,-114.0119341,"ed, em, h",(406) 493-0504,https://softlandingmissoula.org/
Montana State Univesity,"173860, Bozeman, MT 59717-3860",45.6603986,-111.0451818,ed,(406) 994-6550,https://eu.montana.edu/
Montana Registered Aprenticeship,"1728 Helena, MT 59624",46.61,-112.01,ed,(406) 444-4100,https://apprenticeship.mt.gov/
Lutheran Family Services,"124 South 24th Street, Suite 230, Omaha, NE 68102",41.2590072,-95.9473112,"ed, em, h",(402) 342-7038,https://www.onelfs.org/
Metropolitan Community College,"3200 Broadway Blvd, Kansas City, MO 64111",39.0686368,-94.5909936,ed,(816) 604-1000,https://www.mccneb.edu/Academics/Programs-of-Study
South East Community College,"8800 O St, Lincoln, NE 68520",40.8156222,-96.6016956,ed,(402) 471-3333,https://www.southeast.edu/
Catholic Charities of Southern Nevada,"1501 Las Vegas Blvd N, Las Vegas, NV 89101",36.1870151,-115.1346743,"ed, l, h",(702) 385-2662,https://www.catholiccharities.com/
Northern Nevada International Center,"1155 W 4th Street, Suite 222 & 223 Reno, NV 89503",39.5263869,-119.8291717,"ed, h",(775) 784-7515,https://www.unr.edu/nnic
JFSA,"5851 West Charleston Blvd., Las Vegas, NV 89146",36.1587949,-115.2210647,"ed, h",(702) 732-0304,https://www.jfsalv.org/
CSN,"700 College Dr, Henderson, NV 89002",36.0057073,-114.9636936,ed,(702) 651-3000,https://www.csn.edu/
Truckee Meadows,"7000 Dandini Blvd, Reno, NV 89512",39.5716701,-119.7975771,ed,(775) 673-7111,https://www.tmcc.edu/
Nevada Career Instiute,"3231 N Decatur Blvd #201, Las Vegas, NV 89130",36.2179486,-115.2084204,ed,(702) 209-0030,https://www.nevadacareerinstitute.com/
NHRP,"29 Hazen Drive, Concord, NH 03301",43.219186,-71.5159968,"ed, em",1-800-735-2964,https://www.dhhs.nh.gov/programs-services/diversity-culture-inclusion/refugee-program
BCNH,"1045 Elm Street, Suite 202, Manchester NH 03101",42.9929595,-71.462688,"ed, l",603-935-9620,https://www.bcinnh.org/
IINE Manchester,"470 Pine Street, Lower Level, Manchester, NH 03104",42.99466,-71.4599079,"ed, em, l, h",603-647-1500,https://iine.org/refugee-resettlement/
Project Home,"22 Middle Street, Keene NH 03431",42.9346973,-72.2814603,"ed, em, l, h",N/A,https://www.projecthomenh.org/about
Overcomers,"90 Airport Road, Concord, New Hampshire 03301, United States",43.2031927,-71.5094274,ed,603-856-7507,https://overcomersnh.org/our-services
Second Start,"17 Knight Street, Concord, NH 03301",43.2436797,-71.5734318,ed,(603) 228-1341,https://www.second-start.org/
IRC Elizabeth,"208 Commerce Place, 4th Floor, 4th Floor, Elizabeth, NJ07201",40.666785,-74.2144704,"ed, em, l, h",908- 290-5496,https://www.rescue.org/united-states/elizabeth-nj
Interfaith-RISE,"19 S 2nd Ave, Highland Park, NJ 08904",40.4978957,-74.4293425,"ed, em, h",(732) 249-7349,https://interfaithrise.org/what-we-do/
Jewish Vocational Service,"7 Glenwood Avenue, Lower Level, East Orange, NJ 07017",40.7703691,-74.2202253,"ed, em",973-674-6330,https://jvsnj.org/
Literacy New Jersey,"100 Menlo Park Dr., Ste 314, Edison, NJ 08837",40.5475987,-74.33647,ed,(732) 906-5456,https://literacynj.org/
LFSRM Albuquerque,"230 Truman Street, NE, Albuquerque, NM 87108",35.0815136,-106.5870669,"ed, em, h",505.933.7032,https://www.lfsrm.org/locations/
LFSRM Las Cruces,"250 S. Main Street, Las Cruces, NM 88001",32.3082439,-106.7785128,"ed, em, h",575.265.0836,https://www.lfsrm.org/locations/
Catholic Charities,"2010 Bridge Blvd SW Albuquerque, NM   87105",35.0651204,-106.6877531,"ed, l",(505) 724-4670,https://www.ccasfnm.org/refugeesupport.html
Encuentro,"907 4th St. SW, Albuquerque, NM 87102",35.0764716,-106.6534962,"ed, em",(505) 247 - 2920,https://encuentronm.org/our-initiatives/
IRC New York,"263 West 38th Street, 6th Floor, New York, NY10018",40.7545523,-73.9908539,"ed, em, l, h",(212) 377-4728,https://www.rescue.org/united-states/new-york-ny
World Relief Western New York,"420 Winton Road N., Rochester NY 14610",43.1535686,-77.5503435,"ed, em, l",(585) 563-7175,https://worldrelief.org/western-ny/
Catholic Charities of New York,"1011 First Avenue, New York, NY 10022",40.7574566,-73.9639978,"ed, l, h",(888) 744-7900,https://catholiccharitiesny.org/
Church World Service,"110 Maryland Ave NE, Washington, DC 20002",38.8916961,-77.0052186,"ed, h",1.800.297.1516,https://cwsglobal.org/
USCRI Albany,"99 Pine St #101, Albany, NY 12207",42.65114,-73.7511986,"ed, em, h, l",518-459-1790,https://refugees.org/uscri-albany/
World Relief Triad,"155 Northpoint Ave.Suite 102, High Point, NC 27262",35.9883881,-80.022533,"ed, em, l",336-887-9007,https://worldrelief.org/triad/
World Relief Durham,"801 Gilbert St #209, Durham, NC 27701",35.9961315,-78.889374,"ed, em, l",(919) 286-3496,https://worldrelief.org/durham/
USCRI North Carolina,"3824 Barrett Dr, Raleigh, NC 276097220",35.8281172,-78.6317832,"ed, em, l, h",919-334-0072,https://refugees.org/uscri-north-carolina/
RSS,"3925 Willard Farrow Dr., Charlotte, NC 28215",35.2323313,-80.7602662,"ed, em",(704) 458-3245,https://www.refugeesupportservices.org/what-we-do/
NCASC,"122 N. Elm Street Suite 1010, Greensboro, NC 27401",36.073422,-79.789285,"ed, h",336-574-2677,https://www.ascafrica.org/our-services
International House,"1817 Central Ave., Suite 215 Charlotte, NC 28205",35.2206962,-80.809004,"ed, l",704.333.8099,https://www.ihclt.org/programs
Lutheran Social Services of North Dakota,"3911 20th Ave. S., Fargo, ND 58103",46.8485947,-96.8470662,"ed, em",(701) 235-7341,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.393084-Lutheran_Social_Services_of_North_Dakota_Immigration_Services
Refugee Resettlement Program,"600 East Boulevard Avenue, Dept 325, Bismarck N.D. 58505-0250",46.8206977,-100.7827515,"ed, em, l",(701) 328-2310,https://www.nd.gov/dhs/services/childfamily/refugees/
North Dakota College of Science,"800 6th Street N, Wahpeton, ND 58076",46.2715363,-96.6082342,ed,800-342-4325,https://www.ndscs.edu/
United Tribes Technical College,"3315 University Drive, Bismarck, ND 58504",46.7679771,-100.7542072,ed,701.255.3285,https://uttc.edu/
Bismark State College,"1500 Edwards Avenue, Bismarck, ND 58506, USA",46.8210891,-100.8158573,ed,701.224.5400,https://bismarckstate.edu/academics/programs/
USCRI Cleveland,"3167 Fulton Rd Suite 306, Cleveland, OH 44109",41.4680682,-81.7071562,"ed, em, l, h",216-781-4560,https://refugees.org/uscri-cleveland/
